num,,,
100,,,
job,proc,wt,due
J1,1,10,3907
J2,5,8,4261
J3,5,5,4520
J4,13,10,4567
J5,16,10,3803
J6,15,9,3814
J7,14,8,4248
J8,14,8,3875
J9,18,9,4015
J10,22,10,4062
J11,22,10,4187
J12,20,9,4393
J13,20,8,4293
J14,13,5,3717
J15,8,3,4727
J16,14,5,3797
J17,31,10,3857
J18,23,7,4015
J19,10,3,4508
J20,21,6,3738
J21,19,5,3767
J22,36,9,3857
J23,14,3,3727
J24,24,5,4558
J25,39,8,3782
J26,46,9,4202
J27,46,9,4547
J28,37,7,3974
J29,27,5,4612
J30,49,9,4360
J31,51,9,4760
J32,49,8,4318
J33,25,4,4562
J34,39,6,4066
J35,33,5,4281
J36,61,9,4502
J37,35,5,4740
J38,65,9,4188
J39,22,3,4324
J40,68,9,3819
J41,69,9,4642
J42,41,5,4243
J43,17,2,4378
J44,69,8,4207
J45,78,9,4527
J46,53,6,4609
J47,72,8,3928
J48,54,6,3729
J49,91,10,3790
J50,65,7,4366
J51,94,10,3752
J52,58,6,4122
J53,99,10,4227
J54,90,9,4536
J55,50,5,4204
J56,91,9,3713
J57,61,6,4113
J58,82,8,4240
J59,72,7,4753
J60,31,3,4095
J61,73,7,4068
J62,92,8,3815
J63,53,4,4537
J64,53,4,4762
J65,94,7,3726
J66,81,6,4384
J67,55,4,4281
J68,28,2,4142
J69,87,6,4582
J70,89,6,4546
J71,89,6,4471
J72,60,4,3811
J73,60,4,4151
J74,79,5,4681
J75,95,6,3724
J76,32,2,4235
J77,80,5,4768
J78,50,3,4339
J79,100,6,4025
J80,51,3,4707
J81,18,1,3858
J82,72,4,3713
J83,55,3,4761
J84,74,4,3743
J85,97,5,4126
J86,97,5,4022
J87,79,4,4671
J88,88,4,4591
J89,74,3,3735
J90,54,2,4761
J91,99,3,4648
J92,73,2,4507
J93,87,2,4361
J94,47,1,4262
J95,100,2,4231
J96,52,1,4412
J97,65,1,3888
J98,67,1,3864
J99,86,1,4288
J100,88,1,3722
