num,,,
40,,,
job,proc,wt,due
J1,26,1,1588
J2,24,10,1620
J3,79,9,1731
J4,46,10,1773
J5,32,10,1694
J6,35,4,1487
J7,73,3,1566
J8,74,2,1844
J9,14,10,1727
J10,67,3,1636
J11,86,7,1599
J12,46,3,1539
J13,78,1,1855
J14,40,3,1645
J15,29,10,1709
J16,94,4,1660
J17,64,7,1582
J18,27,7,1836
J19,90,4,1484
J20,55,7,1559
J21,35,5,1772
J22,52,3,1510
J23,36,5,1512
J24,69,4,1795
J25,85,9,1522
J26,95,5,1509
J27,14,2,1598
J28,78,8,1658
J29,37,10,1826
J30,86,4,1628
J31,44,7,1650
J32,28,4,1833
J33,39,9,1627
J34,12,5,1528
J35,30,7,1541
J36,68,7,1497
J37,70,5,1481
J38,9,10,1446
J39,49,1,1579
J40,50,3,1814
