num,,,
40,,,
job,proc,wt,due
J1,56,1,1687
J2,25,9,1738
J3,76,9,1663
J4,35,9,1480
J5,28,5,1504
J6,52,1,1826
J7,21,4,1722
J8,32,3,1660
J9,64,2,1594
J10,67,8,1445
J11,48,2,1704
J12,100,3,1660
J13,94,7,1715
J14,87,5,1701
J15,39,3,1679
J16,18,5,1516
J17,78,2,1658
J18,80,2,1611
J19,56,2,1502
J20,72,4,1685
J21,4,9,1614
J22,70,9,1647
J23,36,6,1689
J24,46,8,1615
J25,85,9,1524
J26,31,7,1800
J27,96,5,1654
J28,30,2,1752
J29,66,1,1456
J30,92,6,1452
J31,33,4,1801
J32,18,6,1713
J33,19,1,1761
J34,34,2,1513
J35,18,10,1759
J36,4,10,1484
J37,42,6,1821
J38,94,5,1448
J39,4,4,1666
J40,89,3,1611
