num,,,
100,,,
job,proc,wt,due
J1,2,9,4109
J2,3,10,3678
J3,7,9,3656
J4,8,9,4428
J5,9,8,3723
J6,6,5,4299
J7,11,7,4661
J8,8,5,4119
J9,12,7,3904
J10,13,6,3966
J11,19,8,3736
J12,22,9,3679
J13,27,10,4145
J14,23,8,4324
J15,16,5,4099
J16,16,5,3835
J17,24,7,3792
J18,22,6,3815
J19,19,5,4552
J20,23,6,4614
J21,20,5,3668
J22,41,10,3726
J23,41,10,4560
J24,43,10,3657
J25,22,5,4081
J26,36,8,3749
J27,53,10,4134
J28,43,8,4293
J29,27,5,3987
J30,54,9,4472
J31,55,9,3709
J32,57,9,4489
J33,34,5,3778
J34,62,9,4368
J35,35,5,3649
J36,35,5,3724
J37,65,9,4378
J38,37,5,4146
J39,70,9,4243
J40,47,6,4079
J41,32,4,4065
J42,67,8,4564
J43,84,10,3787
J44,85,10,4568
J45,72,8,4131
J46,37,4,4330
J47,56,6,4309
J48,66,7,4630
J49,85,9,4512
J50,49,5,4273
J51,69,7,4002
J52,20,2,4414
J53,40,4,3768
J54,94,9,4055
J55,65,6,4519
J56,55,5,4501
J57,22,2,4570
J58,78,7,3739
J59,90,8,4112
J60,34,3,3757
J61,91,8,4352
J62,81,7,3819
J63,100,8,4646
J64,50,4,3791
J65,64,5,4394
J66,90,7,4321
J67,13,1,4423
J68,94,7,4079
J69,99,7,4444
J70,85,6,3675
J71,86,6,4098
J72,72,5,3868
J73,46,3,4426
J74,79,5,4197
J75,95,6,4642
J76,16,1,4303
J77,33,2,3946
J78,99,6,4064
J79,66,4,3863
J80,90,5,3979
J81,54,3,4087
J82,96,5,4349
J83,59,3,3824
J84,61,3,3922
J85,83,4,4563
J86,42,2,4198
J87,64,3,3790
J88,46,2,3765
J89,48,2,4521
J90,75,3,4272
J91,28,1,4586
J92,66,2,3780
J93,73,2,4230
J94,74,2,4423
J95,88,2,4318
J96,95,2,3960
J97,95,2,4516
J98,98,2,3845
J99,54,1,4053
J100,76,1,4611
